term,n_T,n_ST,p_T,p_ST,ll,category
li header,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons mark,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons individu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
autorisiert dritt,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons error,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons correl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons appear,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respond spalt,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir messag,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
copi comment,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lipf proxi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
limit topic,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
control regul,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
line view,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report pgw,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
line-by-lin verif,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report permit,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
control intern,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
linkid window,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
control ear,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report nmi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lino gpp,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lino gu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report nfinal,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report ndear,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report intercept,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lino work,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report hope,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report exclud,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
contribut simpl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report error,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report eoiwsa,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lipf iri-poi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report claus,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
repli tomorrow,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
repli maurizio,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
contribut propos,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
replac realis,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lipf matter,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report udm,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
report valu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li-deactiv ensur,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
controversi time,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir hsmf,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
copi asn,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li-deactiv obvious,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir definit,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir csps,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir architectur,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir align,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
convinc issu,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
liaison wb,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
life span,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
convey side,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
convey oral,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
request nortel,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
request make,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
liid complic,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
request honour,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
request claus,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
liid multipl,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
back nrev,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
back nv,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
back nwith,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reportuponchang ts,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reportuponchang equival,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
convent nthe,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
limit ear,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
reportintev xc,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
conveni nlet,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
lowermost figur,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
ls agre,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
ls alex,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
question nbelow,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
consensus time,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
question misunderstand,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
consensus overwrit,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bit qfi,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bit spare,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
question insert,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
question gtp-u,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
map mdf,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
map optim,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
map specif,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
bite bite,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
mark chang,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
queri receiv,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
